"","Word","Freq"
"1","2011",1
"2","a",8
"3","about",1
"4","above",1
"5","acres",1
"6","after",1
"7","again",1
"8","ahh",1
"9","ahhh",2
"10","ahhhhahh",1
"11","ala",1
"12","aljajaa",1
"13","all",1
"14","also",5
"15","american",3
"16","an",1
"17","and",5
"18","anti",1
"19","application",1
"20","are",7
"21","armed",1
"22","as",2
"23","astronomical",1
"24","at",1
"25","attended",1
"26","attention",1
"27","available",1
"28","b",1
"29","back",7
"30","badi",1
"31","bag",1
"32","barbara",1
"33","be",4
"34","beautiful",1
"35","bey",1
"36","blowing",1
"37","brought",1
"38","busy",1
"39","but",1
"40","by",1
"41","bye",7
"42","call",2
"43","called",2
"44","camp",1
"45","can",2
"46","cannot",1
"47","capacity",1
"48","care",1
"49","case",1
"50","cases",3
"51","celebrating",1
"52","changed",1
"53","clams",1
"54","clear",1
"55","coffee",4
"56","coke",1
"57","color",1
"58","come",5
"59","coming",1
"60","comingo",1
"61","conqueror",1
"62","contact",2
"63","cool",1
"64","countless",1
"65","custody",1
"66","day",1
"67","decreasing",1
"68","delivering",1
"69","desertion",1
"70","despite",1
"71","dew",1
"72","didn",2
"73","do",3
"74","don",1
"75","down",1
"76","dumbbell",1
"77","each",1
"78","everything",1
"79","facebook",1
"80","fadi",1
"81","far",1
"82","farm",1
"83","faster",1
"84","father",1
"85","field",1
"86","find",1
"87","fine",1
"88","first",1
"89","follow",1
"90","for",1
"91","from",1
"92","funny",1
"93","gabi",1
"94","gestures",1
"95","girl",1
"96","give",2
"97","giving",1
"98","go",1
"99","god",4
"100","good",5
"101","goodbye",1
"102","grandpa",1
"103","gunemica",1
"104","guys",1
"105","hantalk",1
"106","happy",1
"107","have",3
"108","help",2
"109","helpful",1
"110","here",3
"111","hey",1
"112","his",1
"113","hope",2
"114","how",1
"115","huh",2
"116","humanity",2
"117","i",4
"118","ignited",1
"119","impedance",1
"120","important",1
"121","in",11
"122","iron",1
"123","is",13
"124","it",10
"125","kendra",1
"126","kerish",1
"127","king",1
"128","know",1
"129","knowing",1
"130","kundi",1
"131","learn",1
"132","leave",1
"133","let",1
"134","lick",1
"135","life",1
"136","little",1
"137","loneliness",1
"138","look",2
"139","love",1
"140","lunatic",4
"141","m",1
"142","mahavi",1
"143","manufacture",1
"144","me",5
"145","memory",1
"146","message",1
"147","mission",1
"148","mmm",3
"149","more",1
"150","morning",9
"151","msg",1
"152","music",2
"153","my",2
"154","mère",1
"155","name",1
"156","named",1
"157","names",1
"158","next",1
"159","no",1
"160","nooooo",1
"161","not",2
"162","nothing",1
"163","of",9
"164","off",6
"165","oh",9
"166","ok",1
"167","okay",1
"168","omaida",1
"169","on",3
"170","one",2
"171","orders",1
"172","ortalfaddets",1
"173","other",1
"174","our",3
"175","outro",1
"176","paying",1
"177","pega",1
"178","phone",1
"179","playing",1
"180","police",2
"181","policemen",1
"182","polite",1
"183","pull",1
"184","qur",1
"185","region",1
"186","respectively",1
"187","rest",1
"188","returned",1
"189","riba",1
"190","right",1
"191","riot",1
"192","river",1
"193","rix",1
"194","routine",1
"195","s",5
"196","safety",1
"197","sava",1
"198","scratchy",1
"199","seasoning",1
"200","shake",1
"201","should",1
"202","silk",1
"203","sinners",1
"204","sir",2
"205","so",2
"206","societal",2
"207","source",1
"208","source:",4
"209","speaks",1
"210","spoke",1
"211","stuff",1
"212","subtitle",1
"213","sump",1
"214","t",4
"215","tail",1
"216","take",1
"217","target",1
"218","than",1
"219","thank",6
"220","thanks",2
"221","that",3
"222","the",32
"223","there",2
"224","they",4
"225","things",1
"226","this",2
"227","those",1
"228","those음ـha",1
"229","time",2
"230","to",8
"231","transformative",1
"232","travel",1
"233","trigid",1
"234","try",1
"235","united",1
"236","up",1
"237","v",1
"238","violated",1
"239","vision",1
"240","waiting",1
"241","want",1
"242","way",1
"243","we",1
"244","week",1
"245","what",4
"246","when",1
"247","who",3
"248","whoo",1
"249","will",1
"250","wish",1
"251","with",3
"252","wither",1
"253","without",1
"254","won",1
"255","woooo",1
"256","word",1
"257","work",3
"258","world",1
"259","write",1
"260","writing",2
"261","wuuharry",1
"262","yay",1
"263","yeah",1
"264","yes",6
"265","yignida",1
"266","you",19
"267","younes",1
"268","zayn",1
"269","таlang",1
"270","█",1
